timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1739717311318,sensor,all,0,8,33977729024,443834143650,443834143650
1739717311318,sensor,all,0,9,33078181888,443834145200,443834145200
1739717311318,sensor,all,0,0,33078181888,443834144410,443834144410
1739717311318,sensor,all,0,1,33078181888,443834142700,443834142700
1739717311318,sensor,all,0,2,33078181888,443834140900,443834140900
1739717311818,sensor,all,0,3,32318357504,444334515575,444334515575
1739717311818,sensor,all,0,11,32318357504,444334522045,444334522045
1739717311818,sensor,all,0,10,32318357504,444334525095,444334525095
1739717311818,sensor,all,0,4,32318357504,444334524205,444334524205
1739717311818,sensor,all,0,5,33234616320,444334525655,444334525655
1739717311818,sensor,all,0,6,33234616320,444334526295,444334526295
1739717311818,sensor,all,0,7,33234616320,444334526455,444334526455
1739717311818,sensor,all,0,8,33234616320,444334526395,444334526395
1739717311818,sensor,all,0,9,33234616320,444334525715,444334525715
1739717311818,sensor,all,0,0,33234616320,444334524925,444334524925
1739717311818,sensor,all,0,1,33234616320,444334523175,444334523175
1739717311818,sensor,all,0,2,33234616320,444334521575,444334521575
1739717312319,sensor,all,0,3,31239372800,444834893071,444834893071
1739717312319,sensor,all,0,11,31239372800,444834899171,444834899171
1739717312319,sensor,all,0,10,31239372800,444834902561,444834902561
1739717312319,sensor,all,0,4,31239372800,444834901341,444834901341
1739717312319,sensor,all,0,5,30323113984,444834903391,444834903391
1739717312319,sensor,all,0,6,30323113984,444834904101,444834904101
1739717312319,sensor,all,0,7,30323113984,444834904301,444834904301
1739717312319,sensor,all,0,8,30323113984,444834906461,444834906461
1739717312319,sensor,all,0,9,30323113984,444834906551,444834906551
1739717312319,sensor,all,0,0,30323113984,444834906311,444834906311
1739717312319,sensor,all,0,1,30323113984,444834904811,444834904811
1739717312319,sensor,all,0,2,30323113984,444834903091,444834903091
1739717312819,sensor,all,0,3,31389450240,445335271166,445335271166
1739717312819,sensor,all,0,11,31389450240,445335277796,445335277796
1739717312819,sensor,all,0,10,31389450240,445335281026,445335281026
1739717312819,sensor,all,0,4,31389450240,445335280066,445335280066
1739717312819,sensor,all,0,5,31389450240,445335281876,445335281876
1739717312819,sensor,all,0,6,31389450240,445335282456,445335282456
1739717312819,sensor,all,0,7,31389450240,445335282486,445335282486
1739717312819,sensor,all,0,8,31389450240,445335282826,445335282826
1739717312819,sensor,all,0,9,31389450240,445335282276,445335282276
1739717312819,sensor,all,0,0,31389450240,445335281896,445335281896
1739717312819,sensor,all,0,1,31389450240,445335280496,445335280496
1739717312819,sensor,all,0,2,31389450240,445335278896,445335278896
1739717313320,sensor,all,0,3,31188647936,445835641251,445835641251
1739717313320,sensor,all,0,11,31188647936,445835646631,445835646631
1739717313320,sensor,all,0,10,31188647936,445835649691,445835649691
1739717313320,sensor,all,0,4,31188647936,445835648631,445835648631
1739717313320,sensor,all,0,5,31188647936,445835650211,445835650211
1739717313320,sensor,all,0,6,31188647936,445835650471,445835650471
1739717313320,sensor,all,0,7,31188647936,445835651511,445835651511
1739717313320,sensor,all,0,8,31188647936,445835653851,445835653851
1739717313320,sensor,all,0,9,31188647936,445835653901,445835653901
1739717313320,sensor,all,0,0,31188647936,445835653431,445835653431
1739717313320,sensor,all,0,1,31188647936,445835651771,445835651771
1739717313320,sensor,all,0,2,31188647936,445835649951,445835649951
1739717313820,sensor,all,0,3,34657206272,446336025687,446336025687
1739717313820,sensor,all,0,11,34657206272,446336031817,446336031817
1739717313820,sensor,all,0,10,34657206272,446336035547,446336035547
1739717313820,sensor,all,0,4,34657206272,446336034547,446336034547
1739717313820,sensor,all,0,5,34657206272,446336036187,446336036187
1739717313820,sensor,all,0,6,34657206272,446336036547,446336036547
1739717313820,sensor,all,0,7,34657206272,446336036367,446336036367
1739717313820,sensor,all,0,8,34657206272,446336036837,446336036837
1739717313820,sensor,all,0,9,34657206272,446336036087,446336036087
1739717313820,sensor,all,0,0,34657206272,446336035417,446336035417
1739717313820,sensor,all,0,1,34657206272,446336033777,446336033777
1739717313820,sensor,all,0,2,34657206272,446336032257,446336032257
1739717314320,sensor,all,0,3,30056579072,446836193112,446836193112
1739717314320,sensor,all,0,11,30056579072,446836202192,446836202192
1739717314320,sensor,all,0,10,30056579072,446836206342,446836206342
1739717314320,sensor,all,0,4,30056579072,446836204882,446836204882
1739717314320,sensor,all,0,5,30056579072,446836206952,446836206952
1739717314320,sensor,all,0,6,30056579072,446836207452,446836207452
1739717314320,sensor,all,0,7,30056579072,446836208282,446836208282
1739717314320,sensor,all,0,8,30056579072,446836210742,446836210742
1739717314320,sensor,all,0,9,30056579072,446836210402,446836210402
1739717314320,sensor,all,0,0,30056579072,446836210192,446836210192
1739717314320,sensor,all,0,1,30056579072,446836208842,446836208842
1739717314320,sensor,all,0,2,30056579072,446836207422,446836207422
1739717314820,sensor,all,0,3,30692474880,447336577547,447336577547
1739717314820,sensor,all,0,11,30692474880,447336583357,447336583357
1739717314820,sensor,all,0,10,30692474880,447336587067,447336587067
1739717314820,sensor,all,0,4,30692474880,447336585457,447336585457
1739717314820,sensor,all,0,5,32280412160,447336587777,447336587777
1739717314820,sensor,all,0,6,32280412160,447336588177,447336588177
1739717314820,sensor,all,0,7,32280412160,447336588317,447336588317
1739717314820,sensor,all,0,8,32280412160,447336590327,447336590327
1739717314820,sensor,all,0,9,32280412160,447336590668,447336590668
1739717314820,sensor,all,0,0,32280412160,447336591108,447336591108
1739717314820,sensor,all,0,1,32280412160,447336589498,447336589498
1739717314820,sensor,all,0,2,32280412160,447336588388,447336588388
1739717315321,sensor,all,0,3,30062542848,447836958963,447836958963
1739717315321,sensor,all,0,11,30062542848,447836964823,447836964823
1739717315321,sensor,all,0,10,28474605568,447836968193,447836968193
1739717315321,sensor,all,0,4,30062542848,447836967203,447836967203
1739717315321,sensor,all,0,5,28474605568,447836968983,447836968983
1739717315321,sensor,all,0,6,28474605568,447836969653,447836969653
1739717315321,sensor,all,0,7,28474605568,447836970913,447836970913
1739717315321,sensor,all,0,8,28474605568,447836973583,447836973583
1739717315321,sensor,all,0,9,28474605568,447836972943,447836972943
1739717315321,sensor,all,0,0,28474605568,447836972853,447836972853
1739717315321,sensor,all,0,1,28474605568,447836971193,447836971193
1739717315321,sensor,all,0,2,28474605568,447836969863,447836969863
1739717315821,sensor,all,0,3,30139678720,448337337908,448337337908
1739717315821,sensor,all,0,11,30139678720,448337344208,448337344208
1739717315821,sensor,all,0,10,30139678720,448337347048,448337347048
1739717315821,sensor,all,0,4,30139678720,448337346178,448337346178
1739717315821,sensor,all,0,5,30139678720,448337348068,448337348068
1739717315821,sensor,all,0,6,30139678720,448337348478,448337348478
1739717315821,sensor,all,0,7,30139678720,448337350118,448337350118
1739717315821,sensor,all,0,8,30139678720,448337352578,448337352578
1739717315821,sensor,all,0,9,30139678720,448337351998,448337351998
1739717315821,sensor,all,0,0,30139678720,448337351568,448337351568
1739717315821,sensor,all,0,1,30139678720,448337350438,448337350438
1739717315821,sensor,all,0,2,30139678720,448337349138,448337349138
1739717316322,sensor,all,0,3,33957609472,448837723364,448837723364
1739717316322,sensor,all,0,11,33957609472,448837729634,448837729634
1739717316322,sensor,all,0,10,33957609472,448837732514,448837732514
1739717316322,sensor,all,0,4,33957609472,448837731674,448837731674
1739717316322,sensor,all,0,5,33957609472,448837732994,448837732994
1739717316322,sensor,all,0,6,33957609472,448837733644,448837733644
1739717316322,sensor,all,0,7,33957609472,448837734124,448837734124
1739717316322,sensor,all,0,8,33957609472,448837736604,448837736604
1739717316322,sensor,all,0,9,33957609472,448837736274,448837736274
1739717316322,sensor,all,0,0,33957609472,448837735894,448837735894
1739717316322,sensor,all,0,1,33957609472,448837734494,448837734494
1739717316322,sensor,all,0,2,33957609472,448837733004,448837733004
1739717316822,sensor,all,0,3,30480924672,449338110539,449338110539
1739717316822,sensor,all,0,11,30480924672,449338116609,449338116609
1739717316822,sensor,all,0,10,30480924672,449338119409,449338119409
1739717316822,sensor,all,0,4,30480924672,449338118289,449338118289
1739717316822,sensor,all,0,5,30480924672,449338120259,449338120259
1739717316822,sensor,all,0,6,30480924672,449338120929,449338120929
1739717316822,sensor,all,0,7,30480924672,449338121579,449338121579
1739717316822,sensor,all,0,8,30480924672,449338123879,449338123879
1739717316822,sensor,all,0,9,30480924672,449338124309,449338124309
1739717316822,sensor,all,0,0,30480924672,449338123689,449338123689
1739717316822,sensor,all,0,1,30480924672,449338122079,449338122079
1739717316822,sensor,all,0,2,30480924672,449338120539,449338120539
1739717317322,sensor,all,0,3,32693157888,449838489374,449838489374
1739717317322,sensor,all,0,11,32693157888,449838495574,449838495574
1739717317322,sensor,all,0,10,32693157888,449838498705,449838498705
1739717317322,sensor,all,0,4,32693157888,449838497594,449838497594
1739717317322,sensor,all,0,5,35045376000,449838499635,449838499635
1739717317322,sensor,all,0,6,35045376000,449838500125,449838500125
1739717317322,sensor,all,0,7,35045376000,449838500625,449838500625
